threshold,share
0.657525,0.361271
0.657525,0.359223
0.658596,0.357865
0.658596,0.355817
0.659685,0.354459
0.659685,0.353101
0.660756,0.351721
0.660756,0.350363
0.661282,0.349695
0.661282,0.348315
0.662371,0.346957
0.662371,0.345599
0.663442,0.344241
0.663442,0.342861
0.663986,0.342193
0.663986,0.340813
0.665057,0.339455
0.665057,0.337407
0.666128,0.336049
0.666128,0.334001
0.667199,0.332643
0.667199,0.331285
0.668288,0.329927
0.668288,0.328547
0.668815,0.327879
0.668815,0.325831
0.669886,0.324474
0.669886,0.322426
0.670974,0.321045
0.670974,0.319020
0.672045,0.317639
0.672045,0.315591
0.672589,0.314924
0.672589,0.313566
0.673660,0.312186
0.673660,0.311518
0.674187,0.310828
0.674187,0.309470
0.675276,0.308112
0.675276,0.306064
0.676347,0.304706
0.676347,0.303326
0.677418,0.301968
0.677418,0.299920
0.678489,0.298562
0.678489,0.297204
0.679577,0.295824
0.679577,0.294466
0.680648,0.293108
0.680648,0.291750
0.681175,0.291060
0.681175,0.289702
0.682264,0.288344
0.682264,0.286296
0.682790,0.285606
0.683335,0.284916
0.683335,0.283558
0.684406,0.282200
0.684406,0.280842
0.684950,0.280152
0.684950,0.278104
0.686021,0.276746
0.686021,0.275388
0.686565,0.274698
0.686565,0.274031
0.687092,0.273340
0.687092,0.271983
0.688180,0.270602
0.688180,0.269244
0.689251,0.267887
0.689251,0.266529
0.690322,0.265148
0.690322,0.263123
0.691393,0.261743
0.691393,0.259695
0.692482,0.258337
0.692482,0.256289
0.693553,0.254931
0.693553,0.252883
0.694080,0.252215
0.694080,0.250835
0.695168,0.249477
0.695168,0.248119
0.696239,0.246761
0.696239,0.245381
0.697310,0.244023
0.697310,0.241975
0.698381,0.240617
0.698381,0.239259
0.699470,0.237901
0.699470,0.236521
0.700541,0.235163
0.700541,0.233805
0.701067,0.233115
0.701067,0.232447
0.701612,0.231757
0.701612,0.230399
0.702683,0.229041
0.702683,0.226993
0.703771,0.225613
0.703771,0.224255
0.704842,0.222897
0.704842,0.221540
0.705913,0.220159
0.705913,0.218801
0.706984,0.217444
0.706984,0.216086
0.708073,0.214705
0.708073,0.213348
0.709144,0.211990
0.709144,0.209942
0.709671,0.209252
